Fecha,T. Media,T. Máx,T. Mín,V. media Viento,Rachas máx,Presión media,Lluvia
6/1/2018,33,39,17,10.1 km/h,29.6 km/h,1016.1 hPa,#¿NOMBRE?
6/2/2018,33,39,19,13.2 km/h,#¿NOMBRE?,1017.6 hPa,#¿NOMBRE?
6/3/2018,33,38,23,14.5 km/h,51.9 km/h,1018.6 hPa,#¿NOMBRE?
6/4/2018,29,37,18,14.4 km/h,55.6 km/h,1019.5 hPa,#¿NOMBRE?
6/5/2018,31,37,20,14.4 km/h,53.7 km/h,1018 hPa,#¿NOMBRE?
6/6/2018,32,37,23,7.5 km/h,#¿NOMBRE?,1016.1 hPa,#¿NOMBRE?
6/7/2018,30,35,20,10.2 km/h,#¿NOMBRE?,1017.5 hPa,#¿NOMBRE?
6/8/2018,31,36,22,11.1 km/h,#¿NOMBRE?,1018.6 hPa,#¿NOMBRE?
6/9/2018,28,33,22,10.9 km/h,#¿NOMBRE?,1019.6 hPa,#¿NOMBRE?
6/10/2018,29,34,22,13.3 km/h,#¿NOMBRE?,1016.8 hPa,#¿NOMBRE?
6/11/2018,31,37,18,13.3 km/h,#¿NOMBRE?,1015.5 hPa,#¿NOMBRE?
6/12/2018,32,38,22,7.4 km/h,29.6 km/h,1015.5 hPa,#¿NOMBRE?
6/13/2018,31,36,21,14.4 km/h,#¿NOMBRE?,1016.8 hPa,#¿NOMBRE?
6/14/2018,31,34,21,12.1 km/h,31.5 km/h,1017.1 hPa,#¿NOMBRE?
6/15/2018,30,33,24,17.6 km/h,#¿NOMBRE?,1013.9 hPa,#¿NOMBRE?
6/16/2018,26,31,19,15.3 km/h,#¿NOMBRE?,1013.6 hPa,#¿NOMBRE?
6/17/2018,27,32,20,9.9 km/h,#¿NOMBRE?,1016.9 hPa,#¿NOMBRE?
6/18/2018,30,35,18,9.1 km/h,#¿NOMBRE?,1017.5 hPa,#¿NOMBRE?
6/19/2018,32,37,21,11.5 km/h,#¿NOMBRE?,1016.3 hPa,#¿NOMBRE?
6/20/2018,32,38,21,11.6 km/h,29.6 km/h,1015.4 hPa,#¿NOMBRE?
6/21/2018,32,38,22,13.4 km/h,#¿NOMBRE?,1017.3 hPa,#¿NOMBRE?
6/22/2018,32,37,21,14.2 km/h,#¿NOMBRE?,1017.4 hPa,#¿NOMBRE?
6/23/2018,33,39,22,9.6 km/h,29.6 km/h,1014.6 hPa,#¿NOMBRE?
6/24/2018,33,38,23,8.6 km/h,#¿NOMBRE?,1014.7 hPa,#¿NOMBRE?
6/25/2018,33,38,19,13 km/h,27.8 km/h,1016.3 hPa,#¿NOMBRE?
6/26/2018,33,37,25,14.4 km/h,#¿NOMBRE?,1017.6 hPa,#¿NOMBRE?
6/27/2018,31,36,20,12.2 km/h,#¿NOMBRE?,1018.2 hPa,#¿NOMBRE?
6/28/2018,30,36,22,17.1 km/h,44.4 km/h,1018 hPa,#¿NOMBRE?
6/29/2018,26,30,18,8.9 km/h,#¿NOMBRE?,1017.9 hPa,#¿NOMBRE?
6/30/2018,25,31,18,12.1 km/h,#¿NOMBRE?,1018.7 hPa,#¿NOMBRE?
7/1/2018,27,33,21,11.4 km/h,#¿NOMBRE?,1020.3 hPa,#¿NOMBRE?
7/2/2018,29,34,22,7.3 km/h,#¿NOMBRE?,1018.9 hPa,#¿NOMBRE?
7/3/2018,27,33,18,13.8 km/h,31.5 km/h,1019.6 hPa,#¿NOMBRE?
7/4/2018,30,36,19,10 km/h,#¿NOMBRE?,1019.8 hPa,#¿NOMBRE?
7/5/2018,29,34,19,19.6 km/h,61.1 km/h,1022.5 hPa,#¿NOMBRE?
7/6/2018,23,28,18,12.5 km/h,#¿NOMBRE?,1027.2 hPa,#¿NOMBRE?
7/7/2018,25,31,17,8.9 km/h,#¿NOMBRE?,1024.6 hPa,#¿NOMBRE?
7/8/2018,27,31,21,18.2 km/h,#¿NOMBRE?,1022.1 hPa,#¿NOMBRE?
7/9/2018,23,26,19,9.3 km/h,#¿NOMBRE?,1023.5 hPa,#¿NOMBRE?
7/10/2018,23,28,17,13.9 km/h,57.4 km/h,1023.7 hPa,#¿NOMBRE?
7/11/2018,26,32,17,10.3 km/h,#¿NOMBRE?,1021.7 hPa,#¿NOMBRE?
7/12/2018,27,33,18,11.1 km/h,#¿NOMBRE?,1021.3 hPa,#¿NOMBRE?
7/13/2018,29,34,21,8 km/h,#¿NOMBRE?,1022.1 hPa,#¿NOMBRE?
7/14/2018,29,34,20,10.9 km/h,#¿NOMBRE?,1021.2 hPa,#¿NOMBRE?
7/15/2018,28,33,20,13.9 km/h,#¿NOMBRE?,1020 hPa,#¿NOMBRE?
7/16/2018,22,24,19,8.4 km/h,#¿NOMBRE?,1022.5 hPa,#¿NOMBRE?
7/17/2018,23,31,17,8.8 km/h,#¿NOMBRE?,1023.1 hPa,#¿NOMBRE?
7/18/2018,29,34,18,6.4 km/h,#¿NOMBRE?,1021.9 hPa,#¿NOMBRE?
7/19/2018,31,36,18,10.1 km/h,#¿NOMBRE?,1019.8 hPa,#¿NOMBRE?
7/20/2018,30,36,20,10.8 km/h,#¿NOMBRE?,1018.7 hPa,#¿NOMBRE?
7/21/2018,31,37,19,9.6 km/h,33.3 km/h,1019.7 hPa,#¿NOMBRE?
7/22/2018,33,38,22,16.3 km/h,25.9 km/h,1020 hPa,#¿NOMBRE?
7/23/2018,34,39,21,11.5 km/h,#¿NOMBRE?,1019.1 hPa,#¿NOMBRE?
7/24/2018,32,38,19,10.1 km/h,25.9 km/h,1021.5 hPa,#¿NOMBRE?
7/25/2018,32,37,23,10.8 km/h,#¿NOMBRE?,1022.3 hPa,#¿NOMBRE?
7/26/2018,29,34,22,11.9 km/h,#¿NOMBRE?,1021.1 hPa,#¿NOMBRE?
7/27/2018,28,33,19,11.6 km/h,#¿NOMBRE?,1021.3 hPa,#¿NOMBRE?
7/28/2018,30,35,21,11.2 km/h,#¿NOMBRE?,1021.6 hPa,#¿NOMBRE?
7/29/2018,30,36,18,8 km/h,#¿NOMBRE?,1020.9 hPa,#¿NOMBRE?
7/30/2018,28,34,23,8.9 km/h,#¿NOMBRE?,1019 hPa,#¿NOMBRE?
7/31/2018,21,24,19,8 km/h,#¿NOMBRE?,1024.8 hPa,#¿NOMBRE?
8/1/2018,26,33,16,5.7 km/h,#¿NOMBRE?,1022.8 hPa,#¿NOMBRE?
8/2/2018,30,36,19,15.6 km/h,44.4 km/h,1020.6 hPa,#¿NOMBRE?
8/3/2018,31,36,17,10.4 km/h,40.7 km/h,1019.5 hPa,#¿NOMBRE?
8/4/2018,31,36,22,15.5 km/h,33.3 km/h,1018.5 hPa,#¿NOMBRE?
8/5/2018,30,35,22,11.8 km/h,#¿NOMBRE?,1019 hPa,#¿NOMBRE?
8/6/2018,29,34,22,15.2 km/h,#¿NOMBRE?,1020 hPa,#¿NOMBRE?
8/7/2018,29,34,20,17.4 km/h,59.3 km/h,1019.9 hPa,#¿NOMBRE?
8/8/2018,30,34,19,9.3 km/h,#¿NOMBRE?,1019.8 hPa,#¿NOMBRE?
8/9/2018,28,33,19,21.8 km/h,74.1 km/h,1020.3 hPa,#¿NOMBRE?
8/10/2018,24,29,18,12 km/h,44.4 km/h,1022.8 hPa,#¿NOMBRE?
8/11/2018,22,26,18,9.2 km/h,#¿NOMBRE?,1021.3 hPa,#¿NOMBRE?
8/12/2018,20,26,18,12.9 km/h,#¿NOMBRE?,1021.2 hPa,#¿NOMBRE?
8/13/2018,23,28,17,7 km/h,#¿NOMBRE?,1020.1 hPa,#¿NOMBRE?
8/14/2018,24,29,18,8.3 km/h,#¿NOMBRE?,1018.4 hPa,#¿NOMBRE?
8/15/2018,27,33,18,8.1 km/h,#¿NOMBRE?,1019.3 hPa,#¿NOMBRE?
8/16/2018,28,33,19,7.5 km/h,#¿NOMBRE?,1021.2 hPa,#¿NOMBRE?
8/17/2018,24,28,17,7.3 km/h,#¿NOMBRE?,1024.4 hPa,#¿NOMBRE?
8/18/2018,27,33,17,6.3 km/h,#¿NOMBRE?,1022.3 hPa,#¿NOMBRE?
8/19/2018,27,32,19,4.5 km/h,#¿NOMBRE?,1019.6 hPa,#¿NOMBRE?
8/20/2018,27,32,18,9.2 km/h,#¿NOMBRE?,1021 hPa,#¿NOMBRE?
8/21/2018,28,33,18,12.5 km/h,#¿NOMBRE?,1022.6 hPa,#¿NOMBRE?
8/22/2018,27,33,19,9.5 km/h,#¿NOMBRE?,1023.4 hPa,#¿NOMBRE?
8/23/2018,27,32,19,8.3 km/h,#¿NOMBRE?,1022.1 hPa,#¿NOMBRE?
8/24/2018,26,31,18,10 km/h,#¿NOMBRE?,1019.5 hPa,#¿NOMBRE?
8/25/2018,26,33,18,7 km/h,#¿NOMBRE?,1020 hPa,#¿NOMBRE?
8/26/2018,27,33,18,7.9 km/h,#¿NOMBRE?,1020.8 hPa,#¿NOMBRE?
8/27/2018,24,30,19,8.5 km/h,#¿NOMBRE?,1019.9 hPa,#¿NOMBRE?
8/28/2018,27,33,20,5.3 km/h,#¿NOMBRE?,1018.9 hPa,#¿NOMBRE?
8/29/2018,25,33,17,13.5 km/h,59.3 km/h,1020.6 hPa,#¿NOMBRE?
8/30/2018,25,32,16,11.5 km/h,68.5 km/h,1021 hPa,#¿NOMBRE?
8/31/2018,27,32,18,3.8 km/h,#¿NOMBRE?,1018.8 hPa,#¿NOMBRE?
9/1/2018,28,33,18,7.7 km/h,#¿NOMBRE?,1016.9 hPa,#¿NOMBRE?
9/2/2018,24,31,17,7.4 km/h,#¿NOMBRE?,1018.1 hPa,#¿NOMBRE?
9/3/2018,25,29,19,7 km/h,#¿NOMBRE?,1018.7 hPa,#¿NOMBRE?
9/4/2018,25,29,17,8.4 km/h,37 km/h,1019 hPa,#¿NOMBRE?
9/5/2018,26,30,18,10.9 km/h,#¿NOMBRE?,1019.9 hPa,#¿NOMBRE?
9/6/2018,22,26,17,22.8 km/h,#¿NOMBRE?,1023.1 hPa,#¿NOMBRE?
9/7/2018,21,25,18,12.6 km/h,#¿NOMBRE?,1022.1 hPa,#¿NOMBRE?
9/8/2018,18,21,16,12.1 km/h,#¿NOMBRE?,1021.5 hPa,#¿NOMBRE?
9/9/2018,22,27,14,7 km/h,#¿NOMBRE?,1019.9 hPa,#¿NOMBRE?
9/10/2018,23,28,13,4.5 km/h,#¿NOMBRE?,1018.9 hPa,#¿NOMBRE?
9/11/2018,24,29,15,6.8 km/h,#¿NOMBRE?,1019.1 hPa,#¿NOMBRE?
9/12/2018,24,31,14,7.3 km/h,#¿NOMBRE?,1019.7 hPa,#¿NOMBRE?
9/13/2018,24,29,13,8.7 km/h,#¿NOMBRE?,1019.6 hPa,#¿NOMBRE?
9/14/2018,24,29,13,6.2 km/h,#¿NOMBRE?,1019.5 hPa,#¿NOMBRE?
9/15/2018,25,29,15,6.4 km/h,#¿NOMBRE?,1019.9 hPa,#¿NOMBRE?
9/16/2018,24,29,14,10.6 km/h,#¿NOMBRE?,1019.5 hPa,#¿NOMBRE?
9/17/2018,24,28,17,8.6 km/h,#¿NOMBRE?,1018.8 hPa,#¿NOMBRE?
9/18/2018,24,28,19,9.9 km/h,48.2 km/h,1018 hPa,#¿NOMBRE?
9/19/2018,22,26,18,14.3 km/h,48.2 km/h,1017.5 hPa,#¿NOMBRE?
9/20/2018,22,28,18,20.3 km/h,#¿NOMBRE?,1015.9 hPa,#¿NOMBRE?
9/21/2018,22,28,16,9.7 km/h,#¿NOMBRE?,1019.9 hPa,#¿NOMBRE?
9/22/2018,21,25,17,15.1 km/h,#¿NOMBRE?,1023.1 hPa,#¿NOMBRE?
9/23/2018,21,27,12,8.2 km/h,#¿NOMBRE?,1021 hPa,#¿NOMBRE?
9/24/2018,24,31,14,6 km/h,#¿NOMBRE?,1017.7 hPa,#¿NOMBRE?
9/25/2018,25,31,16,9.9 km/h,#¿NOMBRE?,1018 hPa,#¿NOMBRE?
9/26/2018,25,29,20,11 km/h,#¿NOMBRE?,1020.2 hPa,#¿NOMBRE?
9/27/2018,22,27,14,6.6 km/h,#¿NOMBRE?,1021.9 hPa,#¿NOMBRE?
9/28/2018,23,29,12,8.5 km/h,#¿NOMBRE?,1020.5 hPa,#¿NOMBRE?
9/29/2018,22,28,13,7.3 km/h,#¿NOMBRE?,1021.2 hPa,#¿NOMBRE?
9/30/2018,23,29,13,8.8 km/h,#¿NOMBRE?,1020.9 hPa,#¿NOMBRE?
10/1/2018,24,28,16,12.9 km/h,#¿NOMBRE?,1020.2 hPa,#¿NOMBRE?
10/2/2018,23,29,16,5.7 km/h,#¿NOMBRE?,1021.1 hPa,#¿NOMBRE?
10/3/2018,25,31,18,5.1 km/h,#¿NOMBRE?,1019.2 hPa,#¿NOMBRE?
10/4/2018,25,32,17,8.8 km/h,#¿NOMBRE?,1019.4 hPa,#¿NOMBRE?
10/5/2018,26,33,16,9 km/h,#¿NOMBRE?,1017 hPa,#¿NOMBRE?
10/6/2018,25,31,13,8.2 km/h,#¿NOMBRE?,1015.5 hPa,#¿NOMBRE?
10/7/2018,25,30,14,17.8 km/h,#¿NOMBRE?,1012.6 hPa,#¿NOMBRE?
10/8/2018,24,29,12,19.4 km/h,40.7 km/h,1010.6 hPa,#¿NOMBRE?
10/9/2018,19,25,8,19.4 km/h,#¿NOMBRE?,1012.6 hPa,#¿NOMBRE?
10/10/2018,19,28,7,7.3 km/h,#¿NOMBRE?,1016.6 hPa,#¿NOMBRE?
10/11/2018,22,29,10,8.2 km/h,#¿NOMBRE?,1016.7 hPa,#¿NOMBRE?
10/12/2018,22,28,10,12 km/h,#¿NOMBRE?,1015.9 hPa,#¿NOMBRE?
10/13/2018,23,29,13,11.7 km/h,#¿NOMBRE?,1015 hPa,#¿NOMBRE?
10/14/2018,21,28,10,10.2 km/h,#¿NOMBRE?,1014.8 hPa,#¿NOMBRE?
10/15/2018,15,23,10,19.9 km/h,#¿NOMBRE?,1018.8 hPa,#¿NOMBRE?
10/16/2018,8,11,4,13.3 km/h,#¿NOMBRE?,1023.4 hPa,#¿NOMBRE?
10/17/2018,9,10,7,10.3 km/h,#¿NOMBRE?,1026.3 hPa,#¿NOMBRE?
10/18/2018,12,20,8,7 km/h,#¿NOMBRE?,1026.2 hPa,#¿NOMBRE?
10/19/2018,18,23,13,7.2 km/h,#¿NOMBRE?,1023.1 hPa,#¿NOMBRE?
10/20/2018,16,19,14,24.2 km/h,#¿NOMBRE?,1025.5 hPa,#¿NOMBRE?
10/21/2018,13,14,10,10.9 km/h,#¿NOMBRE?,1026.4 hPa,#¿NOMBRE?
10/22/2018,15,18,13,7.2 km/h,#¿NOMBRE?,1022.5 hPa,#¿NOMBRE?
10/23/2018,16,18,14,3.9 km/h,#¿NOMBRE?,1020.1 hPa,#¿NOMBRE?
10/24/2018,19,24,11,7.7 km/h,#¿NOMBRE?,1017.7 hPa,#¿NOMBRE?
10/25/2018,19,25,12,7.8 km/h,#¿NOMBRE?,1019.3 hPa,#¿NOMBRE?
10/26/2018,18,24,9,5.8 km/h,#¿NOMBRE?,1020.2 hPa,#¿NOMBRE?
10/27/2018,17,25,6,5.3 km/h,#¿NOMBRE?,1022.8 hPa,#¿NOMBRE?
10/28/2018,19,27,6,8.7 km/h,#¿NOMBRE?,1024.3 hPa,#¿NOMBRE?
10/29/2018,20,29,7,8.1 km/h,#¿NOMBRE?,1022.6 hPa,#¿NOMBRE?
10/30/2018,21,28,8,13.2 km/h,42.6 km/h,1018.8 hPa,#¿NOMBRE?
10/31/2018,22,27,17,19.9 km/h,63 km/h,1015.3 hPa,#¿NOMBRE?
11/1/2018,17,23,3,14 km/h,#¿NOMBRE?,1017.9 hPa,#¿NOMBRE?
11/2/2018,15,23,2,8.8 km/h,#¿NOMBRE?,1021.9 hPa,#¿NOMBRE?
11/3/2018,17,26,3,7.7 km/h,#¿NOMBRE?,1017.8 hPa,#¿NOMBRE?
11/4/2018,17,26,3,10.1 km/h,#¿NOMBRE?,1018.7 hPa,#¿NOMBRE?
11/5/2018,19,29,6,7 km/h,#¿NOMBRE?,1016.1 hPa,#¿NOMBRE?
11/6/2018,20,28,7,7.9 km/h,#¿NOMBRE?,1017.7 hPa,#¿NOMBRE?
11/7/2018,19,28,7,9.4 km/h,#¿NOMBRE?,1018.6 hPa,#¿NOMBRE?
11/8/2018,19,27,4,8.2 km/h,#¿NOMBRE?,1017.9 hPa,#¿NOMBRE?
11/9/2018,15,19,6,16.7 km/h,#¿NOMBRE?,1021.1 hPa,#¿NOMBRE?
11/10/2018,12,19,8,15.3 km/h,#¿NOMBRE?,1022.6 hPa,#¿NOMBRE?
11/11/2018,16,23,6,10.1 km/h,#¿NOMBRE?,1017.9 hPa,#¿NOMBRE?
11/12/2018,14,20,8,23.6 km/h,40.7 km/h,1021.1 hPa,#¿NOMBRE?
11/13/2018,3,7,-5,15.3 km/h,51.9 km/h,1033.2 hPa,#¿NOMBRE?
11/14/2018,3,12,-10,5.5 km/h,#¿NOMBRE?,1032.4 hPa,#¿NOMBRE?
11/15/2018,9,18,-1,8.8 km/h,#¿NOMBRE?,1025.3 hPa,#¿NOMBRE?
11/16/2018,10,19,-6,9.4 km/h,#¿NOMBRE?,1021.8 hPa,#¿NOMBRE?
11/17/2018,13,22,-1,9.5 km/h,#¿NOMBRE?,1020.3 hPa,#¿NOMBRE?
11/18/2018,13,22,1,10.1 km/h,#¿NOMBRE?,1020.8 hPa,#¿NOMBRE?
11/19/2018,13,22,1,8.1 km/h,#¿NOMBRE?,1021.2 hPa,#¿NOMBRE?
11/20/2018,12,20,0,11.6 km/h,#¿NOMBRE?,1022.7 hPa,#¿NOMBRE?
11/21/2018,13,20,1,6.6 km/h,#¿NOMBRE?,1022.8 hPa,#¿NOMBRE?
11/22/2018,15,25,0,8.5 km/h,#¿NOMBRE?,1022.3 hPa,#¿NOMBRE?
11/23/2018,17,21,12,11.6 km/h,#¿NOMBRE?,1020.1 hPa,#¿NOMBRE?
11/24/2018,15,22,7,8.2 km/h,44.4 km/h,1016.1 hPa,#¿NOMBRE?
11/25/2018,14,18,9,11.1 km/h,#¿NOMBRE?,1017.9 hPa,#¿NOMBRE?
11/26/2018,8,13,0,5.1 km/h,#¿NOMBRE?,1024.2 hPa,#¿NOMBRE?
11/27/2018,11,18,0,6.6 km/h,#¿NOMBRE?,1023.2 hPa,#¿NOMBRE?
11/28/2018,15,24,4,7.5 km/h,#¿NOMBRE?,1018 hPa,#¿NOMBRE?
11/29/2018,14,26,1,7.3 km/h,#¿NOMBRE?,1016.5 hPa,#¿NOMBRE?
11/30/2018,19,24,14,24.5 km/h,66.7 km/h,1011.8 hPa,#¿NOMBRE?
12/1/2018,14,21,3,10.2 km/h,#¿NOMBRE?,1012.9 hPa,#¿NOMBRE?
12/2/2018,16,24,3,15.4 km/h,#¿NOMBRE?,1012.1 hPa,#¿NOMBRE?
12/3/2018,12,17,-1,5.2 km/h,#¿NOMBRE?,1019.9 hPa,#¿NOMBRE?
12/4/2018,11,19,-1,6.7 km/h,#¿NOMBRE?,1022.3 hPa,#¿NOMBRE?
12/5/2018,10,13,6,7.9 km/h,#¿NOMBRE?,1022.8 hPa,#¿NOMBRE?
12/6/2018,19,22,15,16.1 km/h,#¿NOMBRE?,1020.7 hPa,#¿NOMBRE?
12/7/2018,12,17,9,7.4 km/h,#¿NOMBRE?,1022.2 hPa,#¿NOMBRE?
12/8/2018,9,13,2,8.5 km/h,#¿NOMBRE?,1024.1 hPa,#¿NOMBRE?
12/9/2018,9,16,0,3.9 km/h,#¿NOMBRE?,1027.7 hPa,#¿NOMBRE?
12/10/2018,9,16,0,9.2 km/h,#¿NOMBRE?,1027.6 hPa,#¿NOMBRE?
12/11/2018,10,15,4,4.2 km/h,#¿NOMBRE?,1024 hPa,#¿NOMBRE?
12/12/2018,13,20,7,18.8 km/h,59.3 km/h,1018.9 hPa,#¿NOMBRE?
12/13/2018,8,11,3,21.7 km/h,55.6 km/h,1021.2 hPa,#¿NOMBRE?
12/14/2018,6,14,-3,5.3 km/h,#¿NOMBRE?,1028.6 hPa,#¿NOMBRE?
12/15/2018,7,14,-4,6.8 km/h,#¿NOMBRE?,1027.2 hPa,#¿NOMBRE?
12/16/2018,7,9,3,4 km/h,#¿NOMBRE?,1026.8 hPa,#¿NOMBRE?
12/17/2018,11,19,1,9 km/h,#¿NOMBRE?,1024.1 hPa,#¿NOMBRE?
12/18/2018,11,17,0,7.1 km/h,#¿NOMBRE?,1019.7 hPa,#¿NOMBRE?
12/19/2018,11,21,0,13 km/h,#¿NOMBRE?,1018.5 hPa,#¿NOMBRE?
12/20/2018,11,17,0,12.5 km/h,#¿NOMBRE?,1024.1 hPa,#¿NOMBRE?
12/21/2018,11,22,-2,7.9 km/h,#¿NOMBRE?,1022.3 hPa,#¿NOMBRE?
12/22/2018,13,22,0,6.5 km/h,#¿NOMBRE?,1020.6 hPa,#¿NOMBRE?
12/23/2018,13,22,0,9.7 km/h,#¿NOMBRE?,1024.3 hPa,#¿NOMBRE?
12/24/2018,14,24,1,8.3 km/h,#¿NOMBRE?,1021 hPa,#¿NOMBRE?
12/25/2018,14,24,0,12.3 km/h,#¿NOMBRE?,1015.8 hPa,#¿NOMBRE?
12/26/2018,15,18,11,29 km/h,64.8 km/h,1010.9 hPa,#¿NOMBRE?
12/27/2018,10,17,-2,12 km/h,38.9 km/h,1012.7 hPa,#¿NOMBRE?
12/28/2018,13,22,2,19.6 km/h,50 km/h,1012.1 hPa,#¿NOMBRE?
